"","Plot","Rep","Depth","Year","Season","Cropping.system","Cover","GMC","BD","MBC","pH","AG","BG","CB","LAP","NAG","PHOS","XYL","sep","asep","bac_richness","bac_shannon.div","bac_simpson.div","bac_invsimpson.div","bac_evenness","fun_richness","fun_shannon.div","fun_simpson.div","fun_invsimpson.div","fun_evenness","amf_relabund","amf_richness","amf_shannon.div","amf_simpson.div","amf_invsimpson.div","amf_evenness","plantpath_relabund","plantpath_richness","plantpath_shannon.div","plantpath_simpson.div","plantpath_invsimpson.div","plantpath_evenness","sap_relabund","sap_richness","sap_shannon.div","sap_simpson.div","sap_invsimpson.div","sap_evenness","orgC","totN","POC","MAOC","sandC","POM","MAOM","sandM","POMc","MAOMc","sandc","poxc","noN","nhN","inorgN","P","K","Ca","Mg","Mn","Zn","Al","B","Cu","Fe","Na","Ni","Si","WEC","WEN","WAS","MWD4","MWD5","CCpc","CCc","CCn","CCcn","Wc","Wn","Wcn","inputC","inputN","Weeds","Wheat","Clover","Radish","Vetch","Grass","Yield","Yield.crop","tissue.N.percent","tissue.P.percent","tissue.K.percent","tissue.Ca.percent","tissue.Mg.percent","tissue.S.percent","tissue.B.ppm","tissue.Cu.ppm","tissue.Fe.ppm","tissue.Mn.ppm","tissue.Zn.ppm","tissue.Na.ppm","Notes"
"11",104,"1","10-20 cm",2020,"Fall","Corn-Corn-Corn","Wheat-Clover",0.166666667,1.366179126,254.5803,6.68,2.754003,29.979136,10.517788,12.737571,17.725739,206.899184,10.418787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68,0.54,0.4616768,4.2183232,NA,0.5,87.27,13.51,9.31,90.69,NA,NA,4.085069,0.892917,4.977986,12.1275,52.9887,855.008,42.9853,21.5624,1.5998,111.39,0.1475,0.3646,11.4843,4.4305,0.4743,29.2624,33.84241181,3.13246263,34.83443709,3.955518242,3.727906302,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high mbc/n,"
"12",104,"1","20-30 cm",2020,"Fall","Corn-Corn-Corn","Wheat-Clover",0.208955224,1.387093729,NA,6.45,1.961131,20.481022,3.508853,4.13639,13.685036,240.576801,9.875257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,0.41,0.1843296,2.3556704,NA,0.22,92.43,7.1,8.23,91.77,NA,NA,3.961396,0.867274,4.82867,15.433,49.1003,1135.39,78.8738,11.5088,2.6342,125.476,0.1198,0.4822,13.9186,6.7753,0.4004,57.916,37.97602227,2.296168965,36.449553,4.190492745,4.208479444,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high phos,"
"13",105,"1","0-10 cm",2020,"Fall","Corn-Corn-Corn","Clover",0.2,1.301116103,205.7392,6.345,4.087133,60.595654,22.183368,27.536082,16.808933,142.786229,8.724011,1.761083503,7.295917371,840,6.412916407,0.997769245,448.2787181,0.95240363,476,4.534102281,0.968480845,31.72673908,0.735408757,0.0118,401,4.401782766,0.96626888,29.64621394,0.734369552,0.1534,390,4.406796893,0.96559008,29.06138695,0.738633675,0.6242,453,4.516031235,0.968619435,31.86685733,0.738409237,9.64,1,1.4025648,8.2374352,NA,0.73,84.9,13.44,19.27,80.73,NA,NA,13.627661,4.334572,17.962233,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,59.24713677,14.55934244,59.44166447,2.94858045,2.881538927,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n, high inorg. n, high Ni,"
"14",105,"1","10-20 cm",2020,"Fall","Corn-Corn-Corn","Clover",0.180327869,1.376220221,154.1211,6.53,1.412792,7.323235,1.185855,3.595875,5.931921,59.841483,1.612558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26,0.51,0.4616768,3.7983232,NA,0.5,87.27,13.51,9.31,90.69,NA,NA,5.596419,0.79992,6.396339,12.1275,52.9887,855.008,42.9853,21.5624,1.5998,111.39,0.1475,0.3646,11.4843,4.4305,0.4743,29.2624,34.12345048,4.286991937,33.92198208,3.735365994,3.925567723,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"15",105,"1","20-30 cm",2020,"Fall","Corn-Corn-Corn","Clover",0.225352113,1.343464194,NA,6.445,1.106142,16.259474,3.433864,2.781179,12.972101,123.376834,5.524531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86,0.43,0.1843296,2.6756704,NA,0.22,92.43,7.1,8.23,91.77,NA,NA,7.071491,0.452287,7.523778,15.433,49.1003,1135.39,78.8738,11.5088,2.6342,125.476,0.1198,0.4822,13.9186,6.7753,0.4004,57.916,23.79527928,8.816299219,37.02668361,4.173552369,4.302293017,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"16",106,"1","0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat",0.230769231,1.276798065,160.8193,6.415,2.792586,53.006481,23.016763,20.108208,22.985102,129.923267,9.219636,1.879963551,8.965980014,1398,6.883467854,0.99843486,638.9205814,0.950387948,555,5.097134352,0.984875312,66.11706671,0.806640303,0.016,453,4.969109306,0.9839596,62.34258497,0.812491327,0.1934,450,4.955661224,0.98388568,62.05660555,0.811173742,0.5128,556,5.115640518,0.985558609,69.24540788,0.809338403,8.98,0.94,0.7309968,8.2490032,NA,0.4,88.48,15.16,18.18,81.82,NA,NA,12.939243,5.034862,17.974105,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,52.95304151,13.21239158,57.4832664,3.182820113,3.015681303,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high asept. hyph., high no-n, high nh-n, high inorg. n, high P, high Ni,"
"17",106,"1","10-20 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat",0.183673469,1.271087309,52.4035,6.545,1.322267,13.484176,3.704564,8.278915,12.766112,118.705738,3.485715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,0.49,0.367092,3.682908,NA,0.65,83.68,17.32,5.67,94.33,NA,NA,6.310089,0.817599,7.127688,11.0694,50.6255,840.984,41.417,24.0441,2.1093,120.335,0.1356,0.566,12.146,4.644,0.4653,29.7179,33.19250988,5.929975951,31.17962466,3.265995204,3.178315348,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"18",106,"1","20-30 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat",0.194444444,1.303276418,NA,6.4,0,8.626655,3.032564,1.655099,6.847025,115.019124,1.677855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84,0.39,0.2064848,2.6335152,NA,0.18,91.56,7.82,11.22,88.78,NA,NA,7.877736,0.731993,8.609729,13.8529,51.0882,1268.86,105.389,7.7435,1.0198,121.267,0.1168,0.3967,15.0862,8.6341,0.2349,72.946,33.37986899,7.41014173,39.08459758,4.422472222,4.772543447,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high Mg,"
"19",107,"1","0-10 cm",2020,"Fall","Corn-Cotton-Soybean","SHM",0.196969697,1.2341752,83.8766,6.455,4.782418,57.740861,23.332495,23.992509,21.617419,136.655978,8.895377,1.606810198,5.570275354,859,6.437057977,0.997788118,452.1036011,0.952823883,475,5.03232951,0.986342022,73.21728053,0.816497237,0.0176,412,4.943898929,0.98565096,69.69107341,0.821106088,0.197,400,4.939925004,0.98613872,72.14340956,0.824493739,0.5724,463,5.013726527,0.986394352,73.49888719,0.816870233,8.68,0.9,0.7309968,7.9490032,NA,0.4,88.48,15.16,18.18,81.82,NA,NA,10.934496,1.765302,12.699798,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,52.06443498,10.98474208,52.21143474,3.435855159,3.437508598,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n, high P, high Ni,"
"20",107,"1","10-20 cm",2020,"Fall","Corn-Cotton-Soybean","SHM",0.183673469,1.459915055,261.1573,6.545,1.73478,17.93155,4.923378,9.140072,18.699428,124.75687,3.242216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,0.48,0.367092,3.622908,NA,0.65,83.68,17.32,5.67,94.33,NA,NA,8.023151,1.718756,9.741907,11.0694,50.6255,840.984,41.417,24.0441,2.1093,120.335,0.1356,0.566,12.146,4.644,0.4653,29.7179,31.85307048,9.867216922,31.04654291,3.041421397,2.914510917,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high mbc/n,"
"21",107,"1","20-30 cm",2020,"Fall","Corn-Cotton-Soybean","SHM",0.195121951,1.307272255,NA,6.4,1.130091,13.241229,2.945118,2.503647,9.40849,123.770717,4.368168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,0.36,0.2064848,2.2835152,NA,0.18,91.56,7.82,11.22,88.78,NA,NA,8.038821,0.674269,8.71309,13.8529,51.0882,1268.86,105.389,7.7435,1.0198,121.267,0.1168,0.3967,15.0862,8.6341,0.2349,72.946,27.65710671,4.185952007,33.2807571,4.22333557,4.319572387,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high Mg,"
"22",108,"1","0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Clover",0.238095238,1.397211996,113.1408,6.43,9.087612,73.448172,33.879482,34.561945,32.59329,150.312336,14.242697,2.354744044,7.027439257,1124,6.658110918,0.998120883,532.1648752,0.947821149,501,4.905036987,0.974635358,39.42496001,0.789021679,0.0154,423,4.756607867,0.97100744,34.4916075,0.786557818,0.2248,417,4.727030736,0.97153984,35.1368369,0.783517848,0.688,481,4.822003175,0.972202582,35.97456388,0.780781543,11.3,1.14,0.7309968,10.5690032,NA,0.4,88.48,15.16,18.18,81.82,NA,NA,8.002318,1.881197,9.883515,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,79.44070912,11.77358087,66.0704607,3.125498391,3.064071352,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high xyl, high MAOC, high P, high Ni,"
"23",108,"1","10-20 cm",2020,"Fall","Corn-Cotton-Soybean","Clover",0.186440678,1.468773918,0,6.545,1.484993,20.33665,4.710357,11.754217,13.878978,130.458626,5.162857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0.49,0.367092,3.882908,NA,0.65,83.68,17.32,5.67,94.33,NA,NA,10.468445,0.655796,11.124241,11.0694,50.6255,840.984,41.417,24.0441,2.1093,120.335,0.1356,0.566,12.146,4.644,0.4653,29.7179,27.75611933,5.972893588,33.54037267,3.566418972,3.402057971,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n,"
"24",108,"1","20-30 cm",2020,"Fall","Corn-Cotton-Soybean","Clover",0.240740741,1.361494454,NA,6.39,0.704395,12.018634,2.872015,3.005499,7.814613,132.244157,3.315037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,0.4,0.2064848,2.4635152,NA,0.18,91.56,7.82,11.22,88.78,NA,NA,7.113483,0.894264,8.007747,13.8529,51.0882,1268.86,105.389,7.7435,1.0198,121.267,0.1168,0.3967,15.0862,8.6341,0.2349,72.946,34.29645322,8.192824859,31.63449163,4.333523692,4.467654985,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high Mg,"
"25",109,"1","0-10 cm",2020,"Fall","Corn-Cotton-Soybean","No cover",0.191489362,1.445589262,32.055,6.51,2.50148,70.888559,23.117693,155.658206,22.25314,127.882022,7.682935,2.089551056,6.61120252,1239,6.680708868,0.997922888,481.4377312,0.938030426,255,3.865056854,0.948957861,19.59165561,0.697504607,0.0014,219,3.722390665,0.9452676,18.27071351,0.690729471,0.3708,220,3.724215645,0.94385176,17.80999725,0.690484393,0.8192,248,3.82939943,0.946546876,18.70798048,0.694558614,8.74,0.9,0.7309968,8.0090032,NA,0.4,88.48,15.16,18.18,81.82,NA,NA,10.456498,1.349072,11.80557,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,58.64805805,10.83887297,58.41741901,3.43623103,3.367125339,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, low fun_evenness, high pathogen_relabund, high sap_relabund, high no-n, high P, high Ni,"
"26",109,"1","10-20 cm",2020,"Fall","Corn-Cotton-Soybean","No cover",0.186666667,1.324420669,0,6.59,0.798498,17.55544,6.245337,65.527661,12.139139,141.178851,2.732376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,0.48,0.367092,3.652908,NA,0.65,83.68,17.32,5.67,94.33,NA,NA,9.93223,0.755917,10.688147,11.0694,50.6255,840.984,41.417,24.0441,2.1093,120.335,0.1356,0.566,12.146,4.644,0.4653,29.7179,32.00816147,5.588013863,29.47869807,3.678311231,3.7277023,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high no-n,"
"27",109,"1","20-30 cm",2020,"Fall","Corn-Cotton-Soybean","No cover",0.217391304,1.327017172,NA,6.595,0.238256,11.060828,1.946076,25.128758,7.459681,91.688779,2.360568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,0.44,0.2064848,2.9135152,NA,0.18,91.56,7.82,11.22,88.78,NA,NA,5.770147,0.79832,6.568467,13.8529,51.0882,1268.86,105.389,7.7435,1.0198,121.267,0.1168,0.3967,15.0862,8.6341,0.2349,72.946,50.2209836,3.718598055,30.0938848,4.595097503,5.038914388,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high Mg,"
